Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Afghanistan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",152.31765530058405,122.01520270400475,184.3809263516936
Angola,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",97.3286698829109,75.37871647889739,120.12615662792528
Albania,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",526.7412918513716,454.38088377633704,605.9708014405527
Andorra,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",182.60144359065052,134.87522157807953,233.72524134884736
United Arab Emirates,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",53.189397156793845,42.70872894837415,64.29049224423368
Argentina,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",192.14556400571075,176.17167930987443,202.1660515197374
Armenia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",451.8902809500798,404.0347023631005,500.5127644012599
American Samoa,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",279.9353723409558,245.3212456309876,322.5941105528938
Antigua and Barbuda,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",227.02687291958108,215.29776688314755,237.87831222715468
Australia,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",183.21405012165752,154.52803210661932,198.16318432169538
Austria,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",326.08624687074166,275.0688983660624,352.9538262913127
Azerbaijan,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",340.2126465195007,301.46016480588924,379.0410136823969
Burundi,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",85.21759378873243,68.79855725629326,103.39735201014697
Belgium,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",230.19715912604832,189.3383361052988,251.57521968841925
Benin,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",87.88112596743545,74.51045432078685,103.96666236330188
Burkina Faso,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",98.32079039334373,82.36115117923708,117.61926855878521
Bangladesh,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",229.11116239631943,188.2234465388079,275.294937435288
Bulgaria,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",1114.1493428126487,987.392896413416,1239.537060912495
Bahrain,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",91.28207731642688,79.00178297866235,103.71932345559635
Bahamas,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",214.84810376626254,179.26016112127112,262.3053282852662
Bosnia and Herzegovina,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",568.2684395791215,468.5554433900198,654.3559022312303
Belarus,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",815.2396366770557,692.9919401082583,941.0058596486259
Belize,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",104.95350302091528,93.24697678480837,115.97585331618488
Bermuda,2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",331.3590008577465,283.31140722581654,392.9444229400573
Bolivia (Plurinational State of),2021,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",120.15004664851273,91.9129880396803,161.22536639635877
