Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Afghanistan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",27.445147572238742,19.452669614753983,39.710844604718616
Angola,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",27.454354612085105,21.100423434409244,34.92698247200272
Albania,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",24.259235516294453,19.15509270710336,29.661985166977757
Andorra,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",37.067423764654315,27.24803604334884,47.52902565533767
United Arab Emirates,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",15.56165442363845,11.767346674314117,19.344495745653603
Argentina,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",54.37384930524954,49.94929195645061,57.383645400775826
Armenia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",36.14391927707274,31.98916439908171,40.360002823033106
American Samoa,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",163.81381508609175,139.95451114828563,195.61157741190635
Antigua and Barbuda,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",116.25749762402668,107.55013816400233,121.69118917097657
Australia,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",36.475153616658545,31.095053256378268,39.47709933853134
Austria,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",60.392737745959955,50.30511640262978,65.64356859531652
Azerbaijan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",26.76315037318389,21.315121989092752,32.32568680983999
Burundi,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",25.69372160456483,19.8137610007527,32.8918730537873
Belgium,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",37.37880466242398,30.402168937268893,41.32939241903181
Benin,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",26.752882747682904,21.990121898247395,32.31731369311157
Burkina Faso,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",29.1500542479033,24.10955354159151,35.27932766031015
Bangladesh,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",33.585116015330286,27.51135200198467,40.780404958922574
Bulgaria,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",71.52798067496546,62.46327076513827,80.67436684780884
Bahrain,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",60.72765540602161,50.46942864402116,70.92001815664982
Bahamas,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",73.54294413277155,60.358759559584854,90.31235466708983
Bosnia and Herzegovina,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",81.54657829814948,66.71297110840841,99.0619289529244
Belarus,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",11.55431391281278,9.596820106543671,13.617709765619216
Belize,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",67.6916149054105,60.07272500752819,75.64478185078649
Bermuda,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",75.50061862604662,63.90072238816178,91.56431955327865
Bolivia (Plurinational State of),2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",70.68223319290381,56.72048836128606,89.87714742455908
Brazil,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",50.127675176542006,45.89219107723901,52.60417173703836
Barbados,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",155.48321427639047,123.90641917466303,188.55160419660345
Brunei Darussalam,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",51.733023995793296,45.94252857226654,58.626199111083416
Bhutan,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",39.603618486835536,28.87913170782626,50.608931194982354
Botswana,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",45.24523223203472,36.667525022969144,56.432061703701926
Central African Republic,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",39.839929017781245,30.54363709414154,50.54259292535951
Canada,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",37.939445128108424,32.6889884772504,40.74516878918995
Switzerland,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",42.713268948811354,34.050927267633284,47.910995150553774
Chile,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",43.3577958512692,38.55814720116282,46.129370160492
Côte d'Ivoire,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",28.67622333525003,22.513466034072763,36.51898087170312
Cameroon,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",36.05087746118516,27.305643052881077,48.207225266074495
Democratic Republic of the Congo,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",32.878102303245974,25.199547196095672,42.227249272434314
Congo,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",50.60061768965403,39.14095644276346,63.697738559881174
Cook Islands,2021,All ages,Both,Diabetes and kidney diseases,"Deaths per 100,000",193.96876417110627,161.91655584098228,229.80206397260747
