Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Afghanistan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",18.290640399943833,12.370934032637347,25.206007045135532
Angola,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.236032759908156,20.484197414334798,35.174796510184294
Albania,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",17.401075591924794,13.425108098229094,21.91028673987803
Andorra,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.240465793350833,18.19347435763334,33.04557810482303
United Arab Emirates,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",5.674557744312562,4.2696381150712766,7.755353670549649
Argentina,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.17924122382125,30.805559200239042,35.275044384500866
Armenia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",44.5733521041492,39.467360300598315,50.04718009043247
American Samoa,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",24.609545692979392,20.631765902135314,29.477211833264686
Antigua and Barbuda,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.809174522640923,23.61732672564875,27.362441647397183
Australia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",26.24017249585054,22.725561385261294,28.619649956729557
Austria,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.40274101224141,30.650239150853913,36.69270789017253
Azerbaijan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.5765272303913,25.067297242894483,41.55902340012608
Burundi,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.399351941069163,23.607794652512457,37.582406573255774
Belgium,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",43.84344291863315,37.93004269076272,47.620958682415186
Benin,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",26.213431283765363,19.8721063699009,35.11491477120378
Burkina Faso,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",26.69364972969282,19.588840948614887,34.50583558452633
Bangladesh,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.894932656753443,22.360367556606885,34.89478414095247
Bulgaria,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",67.09675841432474,58.37854060483905,76.74725615773399
Bahrain,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",14.284439387886023,11.850421925603882,17.683772803456485
Bahamas,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",30.818061103643885,25.036658923988906,37.633386381630025
Bosnia and Herzegovina,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",36.2837344031816,28.491533942047298,43.971464794619806
Belarus,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",42.48173162585443,35.20581360401921,50.21644357195076
Belize,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",24.045610796848784,21.193522831772807,27.042481046821766
Bermuda,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.6342890996341,28.69713473447861,40.190901056516786
Bolivia (Plurinational State of),2021,All ages,Both,Digestive diseases,"Deaths per 100,000",40.80387894674149,26.988442196861,57.21149242975634
Brazil,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.2426560058266,32.03402588858388,35.82997493485918
Barbados,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.97509080855527,25.072492184987894,40.82366528015155
Brunei Darussalam,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",13.138825346841472,11.407516007371202,15.048420507475816
Bhutan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",39.446424733965415,28.245873465606323,61.27987430831428
Botswana,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",23.11984580564554,18.270906013900397,28.717306624426477
Central African Republic,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",47.484078045484004,33.804637872058585,63.0400094578536
Canada,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.431251436579906,30.442914653237402,36.97216447441701
Switzerland,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.312697222941352,23.7100704487595,30.963219545535935
Chile,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",41.52734963932969,38.31453247594943,43.968146164153914
