Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Afghanistan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",47.36986138541607,33.24912577093283,60.93490624202781
Angola,2021,All ages,Both,Neoplasms,"Deaths per 100,000",39.508870627657494,29.732775813516707,51.694304984843036
Albania,2021,All ages,Both,Neoplasms,"Deaths per 100,000",162.58881695656046,135.6340296477824,195.8857838709445
Andorra,2021,All ages,Both,Neoplasms,"Deaths per 100,000",227.91451801258867,168.16641679634057,298.13787906941604
United Arab Emirates,2021,All ages,Both,Neoplasms,"Deaths per 100,000",39.68782177003544,32.123365208734185,49.02087968143091
Argentina,2021,All ages,Both,Neoplasms,"Deaths per 100,000",161.7458808973314,151.17738633694057,169.81918993152354
Armenia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",185.91001156390467,164.8812663194855,206.23300203980975
American Samoa,2021,All ages,Both,Neoplasms,"Deaths per 100,000",133.99199663691894,116.72336474708425,157.25910579179927
Antigua and Barbuda,2021,All ages,Both,Neoplasms,"Deaths per 100,000",152.52445117661267,145.42642995898396,158.31801230240458
Australia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",211.0287349490364,191.0701922850278,223.90836494702577
Austria,2021,All ages,Both,Neoplasms,"Deaths per 100,000",239.79927730740044,215.99080223546497,253.64414518847587
Azerbaijan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",92.63617974429336,76.83111412152694,110.10911746515058
Burundi,2021,All ages,Both,Neoplasms,"Deaths per 100,000",40.17914012586802,30.245687713083534,52.10422192499098
Belgium,2021,All ages,Both,Neoplasms,"Deaths per 100,000",270.67993764272285,241.87080539875322,288.1187961240513
Benin,2021,All ages,Both,Neoplasms,"Deaths per 100,000",33.958390517776785,26.04917802405177,42.4735490453701
Burkina Faso,2021,All ages,Both,Neoplasms,"Deaths per 100,000",42.144303951685835,30.469640802036363,55.10422279904264
Bangladesh,2021,All ages,Both,Neoplasms,"Deaths per 100,000",51.946014326423764,40.567374506049624,65.58527834091268
Bulgaria,2021,All ages,Both,Neoplasms,"Deaths per 100,000",332.3122605881761,282.76439569017845,379.51826877664024
Bahrain,2021,All ages,Both,Neoplasms,"Deaths per 100,000",52.40204231156156,44.03583002467301,62.041278173428545
Bahamas,2021,All ages,Both,Neoplasms,"Deaths per 100,000",153.6748459536053,125.6544431045458,189.60608147952937
Bosnia and Herzegovina,2021,All ages,Both,Neoplasms,"Deaths per 100,000",269.59782810924736,223.66720917252786,318.4658626822671
