measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2000,0.0076004413340252,0.0335594000034469,-0.0024204361247291
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2000,0.0048503818034615,0.0213581371483068,-0.0016454323487458
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2000,0.0007430468158154,0.0031549221512314,-0.0002297769475593
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2000,0.0007184011455343,0.0031855996928554,-0.0002435551047169
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2000,0.00420242159,0.018555599739999998,-0.0013383029499999999
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2000,0.00296433568,0.01305313489,-0.00100561441
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2001,0.0075545672627931,0.0331673392591368,-0.0023953766567125
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2001,0.0048410300373256,0.0214621788372628,-0.0016110123280562
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2001,0.0007408442182214,0.0032550988016279,-0.0002288304745661
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2001,0.0007280512996207,0.0031603945725637,-0.0002333685277083
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2001,0.00413597187,0.01815844342,-0.00131141998
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2001,0.00291697665,0.01293209793,-0.00097072014
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2002,0.0074867274629888,0.0335776702763135,-0.0024356835058592
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2002,0.0048097568154989,0.0209810018596571,-0.0015745579697444
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2002,0.000737173238936,0.0032535592494708,-0.000227569648814
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2002,0.0007349290432864,0.0031520206644179,-0.0002281216120596
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2002,0.0040690564799999995,0.01824955394,-0.00132380052
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2002,0.00286377665,0.01249229546,-0.00093750735
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2003,0.007398645295032,0.0328069228898295,-0.002432622489501
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2003,0.004859355310353,0.0203750265888303,-0.0016337200365047
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2003,0.000734550910068,0.0031523447803287,-0.0002311162132599
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2003,0.0007457826675674,0.0031214811570289,-0.0002361981449293
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2003,0.00399083205,0.01769606651,-0.00131215748
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2003,0.00286103881,0.01199618842,-0.0009618840600000001
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2004,0.0076883775953903,0.0340871004533529,-0.0024586499440112
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2004,0.0048485496795243,0.0203414349944941,-0.0015454190454455
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2004,0.0007434626689511,0.003086602076651,-0.0002328113363255
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2004,0.0007554818803431,0.0031292823705307,-0.0002481128449752
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2004,0.00409980697,0.01817685597,-0.00131106857
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2004,0.00282243278,0.01184113533,-0.0008996177500000001
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2005,0.0080667367256553,0.034967586007906,-0.0024501167137187
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2005,0.0049891529254076,0.0208316942315463,-0.0015388669557386
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2005,0.0007629966064587,0.0031843729134869,-0.0002384188082698
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2005,0.0007802490285576,0.0032021990524787,-0.0002716270683812
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2005,0.00424473317,0.018400014450000002,-0.00128925637
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2005,0.0028757624800000003,0.012007450079999999,-0.00088700746
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2006,0.0083731107211008,0.0356274838961591,-0.0023942401545875
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2006,0.005106821588111,0.0210469331000858,-0.0015701565923944
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2006,0.0007800006400276,0.0032370044579776,-0.0002451088143203
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2006,0.000806075402318,0.0033196269192097,-0.0002838455362685
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2006,0.00434867784,0.01850357114,-0.00124347802
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2006,0.0029207798,0.012037518039999999,-0.00089803052
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2007,0.0086679217592151,0.0373663514417734,-0.0023886200823987
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2007,0.0052527219619873,0.021511771682476,-0.0016720638758156
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2007,0.0007966857216143,0.0033645613098989,-0.0002537608704682
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2007,0.0008334705186627,0.0034851727795961,-0.0003031187291192
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2007,0.00443156967,0.01910395529,-0.0012212081099999999
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2007,0.0029808845600000004,0.01220778645,-0.00094888506
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2008,0.0090416075249965,0.0397821600694816,-0.0025385856925845
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2008,0.0054507558029426,0.0224701485357651,-0.0018052423193349
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2008,0.0008176549786498,0.0034695810328153,-0.0002564204317373
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2008,0.0008667565910804,0.0036298111045498,-0.0003210885707105
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2008,0.0045560441,0.020046133980000002,-0.00127918717
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2008,0.00307342593,0.01266986446,-0.0010178916
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2009,0.009399607803059,0.0416208378571398,-0.0026660693350922
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2009,0.0056754776856954,0.0245794481990835,-0.0019804169819572
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2009,0.0008430320751996,0.0037295758373895,-0.0002610673422189
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2009,0.0009043848660246,0.0039446170664112,-0.0003285291197935
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2009,0.0047040095,0.02082904104,-0.00133422753
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2009,0.0031943537,0.01383415736,-0.0011146466699999999
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2010,0.0095259719754598,0.0436038355709591,-0.0026864258043375
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2010,0.0058404149219389,0.0264891023831766,-0.0020235529003403
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2010,0.0008615565325946,0.003896166274203,-0.0002594742209932
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2010,0.0009431160998383,0.0042111371911691,-0.0003228988474207
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2010,0.00478054441,0.02188228906,-0.0013481645600000002
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2010,0.0033013982199999996,0.0149734354,-0.0011438492
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2011,0.0100950772932052,0.0470030354252683,-0.0028949889454401
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2011,0.0062642328353576,0.0291413702845364,-0.0020496385708189
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2011,0.0008910778038311,0.0040913495941684,-0.0002621386946883
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2011,0.0009961394393082,0.00461645812853,-0.0003299531262176
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2011,0.00511385415,0.02381028502,-0.00146651192
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2011,0.0035741110799999997,0.01662685554,-0.00116943864
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2012,0.0105077241970318,0.0498702357649905,-0.0030879870201019
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2012,0.0065907286265071,0.0301504012115682,-0.0019847531374806
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2012,0.0009125966500376,0.0041848822081583,-0.0002708398343018
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2012,0.0010780701160341,0.0048907393536978,-0.0003398753525549
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2012,0.00533168892,0.02530448824,-0.0015668650899999998
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2012,0.0037875204,0.01732665175,-0.00114058603
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2013,0.0114822997894983,0.0530727724593704,-0.0037085624008659
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2013,0.0070224313891863,0.0318070579650241,-0.0021342391982116
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2013,0.0009346624720751,0.0041864146230367,-0.0002889592034686
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2013,0.0011371109722766,0.0052389169946487,-0.0003635596538467
