IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,DIM_AGE,METRIC,RATE_PER_100_NL,RATE_PER_100_NU
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1991,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,15.039036,12.591951,17.746729
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2015,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,27.37675,25.128514,29.630631
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1999,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,25.838199,24.652658,27.05712
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2015,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,36.818999,34.421128,39.301434
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2022,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,29.781556,25.969481,33.901173
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2007,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,31.799701,30.465657,33.177942
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2011,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,34.410015,32.783201,36.042479
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2004,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,29.770359,28.49386,31.082413
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2001,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,20.725244,18.677671,22.874175
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2004,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,22.483656,20.509154,24.555595
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2017,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,28.094995,25.572142,30.649284
